,ip,timestamp,request,status,bytes_sent,referrer,user_agent,date,endpoint
11,173.236.21.106,2012-06-20 21:16:22+02:00,GET /robots.txt HTTP/1.0,404,488,-,Mozilla/5.0 (compatible; MJ12bot/v1.4.3; http://www.majestic12.co.uk/bot.php?+),2012-06-20,/robots.txt
12,173.236.21.106,2012-06-20 21:16:23+02:00,GET / HTTP/1.0,200,621,-,Mozilla/5.0 (compatible; MJ12bot/v1.4.3; http://www.majestic12.co.uk/bot.php?+),2012-06-20,/
13,213.186.122.2,2012-06-20 21:27:53+02:00,GET /logs/?C=D;O=D HTTP/1.1,200,658,-,Mozilla/5.0 (compatible; AhrefsBot/3.0; +http://ahrefs.com/robot/),2012-06-20,/logs/?C=D;O=D
14,66.249.72.65,2012-06-20 21:28:00+02:00,GET /robots.txt HTTP/1.1,404,508,-,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),2012-06-20,/robots.txt
15,66.249.72.65,2012-06-20 21:28:00+02:00,GET /logs/ HTTP/1.1,200,723,-,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),2012-06-20,/logs/
16,123.125.71.44,2012-06-20 21:38:57+02:00,GET / HTTP/1.1,200,913,-,Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html),2012-06-20,/
17,220.181.108.88,2012-06-20 21:39:48+02:00,GET / HTTP/1.1,200,913,-,Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html),2012-06-20,/
18,178.154.210.252,2012-06-20 21:45:12+02:00,GET /logs/ HTTP/1.1,200,728,-,Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots),2012-06-20,/logs/
19,139.18.2.209,2012-06-20 22:31:43+02:00,GET / HTTP/1.1,200,912,-,findlinks/2.6 (+http://wortschatz.uni-leipzig.de/findlinks/),2012-06-20,/
20,123.125.71.48,2012-06-20 22:38:14+02:00,GET / HTTP/1.1,200,913,-,Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html),2012-06-20,/
21,220.181.108.95,2012-06-20 22:39:03+02:00,GET / HTTP/1.1,200,913,-,Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html),2012-06-20,/
22,123.125.67.218,2012-06-20 22:41:50+02:00,GET /robots.txt HTTP/1.1,404,465,-,Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html),2012-06-20,/robots.txt
23,180.76.6.224,2012-06-20 23:07:26+02:00,GET / HTTP/1.1,200,908,-,Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html),2012-06-20,/
24,208.115.113.91,2012-06-20 23:13:59+02:00,GET /robots.txt HTTP/1.1,404,469,-,Mozilla/5.0 (compatible; Ezooms/1.0; ezooms.bot@gmail.com),2012-06-20,/robots.txt
25,208.115.113.91,2012-06-20 23:54:06+02:00,GET /logs/?C=M;O=D HTTP/1.1,200,1278,-,Mozilla/5.0 (compatible; Ezooms/1.0; ezooms.bot@gmail.com),2012-06-20,/logs/?C=M;O=D
26,123.125.71.57,2012-06-21 00:24:49+02:00,GET / HTTP/1.1,200,908,-,Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html),2012-06-21,/
27,220.181.108.96,2012-06-21 00:24:53+02:00,GET / HTTP/1.1,200,908,-,Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html),2012-06-21,/
28,1.202.218.8,2012-06-21 00:35:33+02:00,GET /robots.txt HTTP/1.0,404,488,-,\,2012-06-21,/robots.txt
29,220.181.108.149,2012-06-21 00:41:48+02:00,GET /icons/folder.gif HTTP/1.1,200,479,-,Baiduspider-image+(+http://www.baidu.com/search/spider.htm),2012-06-21,/icons/folder.gif
30,173.192.34.95,2012-06-21 00:44:32+02:00,GET /robots.txt HTTP/1.1,404,530,-,Aboundex/0.2 (http://www.aboundex.com/crawler/),2012-06-21,/robots.txt
31,173.192.34.95,2012-06-21 00:44:32+02:00,GET / HTTP/1.1,200,949,-,Aboundex/0.2 (http://www.aboundex.com/crawler/),2012-06-21,/
32,173.192.34.95,2012-06-21 00:44:32+02:00,GET /?C=N;O=D HTTP/1.1,200,949,-,Aboundex/0.2 (http://www.aboundex.com/crawler/),2012-06-21,/?C=N;O=D
33,173.192.34.95,2012-06-21 00:44:32+02:00,GET /?C=M;O=A HTTP/1.1,200,949,-,Aboundex/0.2 (http://www.aboundex.com/crawler/),2012-06-21,/?C=M;O=A
34,173.192.34.95,2012-06-21 00:44:32+02:00,GET /?C=S;O=A HTTP/1.1,200,949,-,Aboundex/0.2 (http://www.aboundex.com/crawler/),2012-06-21,/?C=S;O=A
35,173.192.34.95,2012-06-21 00:44:32+02:00,GET /?C=D;O=A HTTP/1.1,200,949,-,Aboundex/0.2 (http://www.aboundex.com/crawler/),2012-06-21,/?C=D;O=A
36,173.192.34.95,2012-06-21 00:44:32+02:00,GET /logs/ HTTP/1.1,200,1338,-,Aboundex/0.2 (http://www.aboundex.com/crawler/),2012-06-21,/logs/
37,173.192.34.95,2012-06-21 00:44:32+02:00,GET /?C=N;O=A HTTP/1.1,200,949,-,Aboundex/0.2 (http://www.aboundex.com/crawler/),2012-06-21,/?C=N;O=A
38,173.192.34.95,2012-06-21 00:44:33+02:00,GET /?C=M;O=D HTTP/1.1,200,949,-,Aboundex/0.2 (http://www.aboundex.com/crawler/),2012-06-21,/?C=M;O=D
39,173.192.34.95,2012-06-21 00:44:33+02:00,GET /?C=S;O=D HTTP/1.1,200,949,-,Aboundex/0.2 (http://www.aboundex.com/crawler/),2012-06-21,/?C=S;O=D
40,173.192.34.95,2012-06-21 00:44:33+02:00,GET /?C=D;O=D HTTP/1.1,200,949,-,Aboundex/0.2 (http://www.aboundex.com/crawler/),2012-06-21,/?C=D;O=D
41,77.75.77.11,2012-06-21 00:52:24+02:00,GET /robots.txt HTTP/1.1,404,503,-,SeznamBot/3.0 (+http://fulltext.sblog.cz/),2012-06-21,/robots.txt
42,77.75.77.11,2012-06-21 00:52:24+02:00,GET /logs/?C=S;O=A HTTP/1.1,200,718,-,SeznamBot/3.0 (+http://fulltext.sblog.cz/),2012-06-21,/logs/?C=S;O=A
43,77.75.77.11,2012-06-21 00:52:25+02:00,GET /logs/?C=N;O=D HTTP/1.1,200,714,-,SeznamBot/3.0 (+http://fulltext.sblog.cz/),2012-06-21,/logs/?C=N;O=D
44,77.75.77.11,2012-06-21 00:52:25+02:00,GET /logs/?C=D;O=A HTTP/1.1,200,714,-,SeznamBot/3.0 (+http://fulltext.sblog.cz/),2012-06-21,/logs/?C=D;O=A
45,77.75.77.11,2012-06-21 00:52:25+02:00,GET /logs/ HTTP/1.1,200,716,-,SeznamBot/3.0 (+http://fulltext.sblog.cz/),2012-06-21,/logs/
46,173.234.248.188,2012-06-21 01:00:46+02:00,GET /logs/access.log HTTP/1.1,200,7843,http://isrolab.com/,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.112 Safari/535.1",2012-06-21,/logs/access.log
47,123.125.71.40,2012-06-21 01:24:50+02:00,GET / HTTP/1.1,200,912,-,Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html),2012-06-21,/
48,220.181.108.75,2012-06-21 01:25:08+02:00,GET / HTTP/1.1,200,912,-,Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html),2012-06-21,/
49,199.87.252.66,2012-06-21 01:54:03+02:00,GET /robots.txt HTTP/1.1,404,468,-,Mozilla/5.0 (compatible; Blekkobot; ScoutJet; +http://blekko.com/about/blekkobot),2012-06-21,/robots.txt
50,199.87.252.66,2012-06-21 01:54:03+02:00,GET /?C=D;O=A HTTP/1.1,200,625,-,Mozilla/5.0 (compatible; Blekkobot; ScoutJet; +http://blekko.com/about/blekkobot),2012-06-21,/?C=D;O=A
51,199.87.252.66,2012-06-21 01:54:15+02:00,GET /favicon.ico HTTP/1.1,404,468,-,Mozilla/5.0 (compatible; Blekkobot; ScoutJet; +http://blekko.com/about/blekkobot),2012-06-21,/favicon.ico
52,199.87.252.66,2012-06-21 02:00:55+02:00,GET / HTTP/1.1,200,625,-,Mozilla/5.0 (compatible; Blekkobot; ScoutJet; +http://blekko.com/about/blekkobot),2012-06-21,/
53,199.87.252.66,2012-06-21 02:04:56+02:00,GET /?C=M;O=A HTTP/1.1,200,625,-,Mozilla/5.0 (compatible; Blekkobot; ScoutJet; +http://blekko.com/about/blekkobot),2012-06-21,/?C=M;O=A
54,123.125.71.48,2012-06-21 02:32:36+02:00,GET / HTTP/1.1,200,916,-,Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html),2012-06-21,/
55,220.181.108.77,2012-06-21 02:33:13+02:00,GET / HTTP/1.1,200,916,-,Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html),2012-06-21,/
56,81.144.138.34,2012-06-21 02:54:26+02:00,GET /robots.txt HTTP/1.1,404,468,-,Wotbox/2.0 (bot@wotbox.com; http://www.wotbox.com),2012-06-21,/robots.txt
57,81.144.138.34,2012-06-21 02:54:54+02:00,GET / HTTP/1.1,200,625,-,Wotbox/2.0 (bot@wotbox.com; http://www.wotbox.com),2012-06-21,/
58,81.144.138.34,2012-06-21 02:55:02+02:00,GET /?C=N;O=D HTTP/1.1,200,623,-,Wotbox/2.0 (bot@wotbox.com; http://www.wotbox.com),2012-06-21,/?C=N;O=D
59,81.144.138.34,2012-06-21 02:55:14+02:00,GET /?C=M;O=A HTTP/1.1,200,625,-,Wotbox/2.0 (bot@wotbox.com; http://www.wotbox.com),2012-06-21,/?C=M;O=A
60,81.144.138.34,2012-06-21 02:55:22+02:00,GET /?C=S;O=A HTTP/1.1,200,625,-,Wotbox/2.0 (bot@wotbox.com; http://www.wotbox.com),2012-06-21,/?C=S;O=A
61,81.144.138.34,2012-06-21 02:55:32+02:00,GET /?C=D;O=A HTTP/1.1,200,625,-,Wotbox/2.0 (bot@wotbox.com; http://www.wotbox.com),2012-06-21,/?C=D;O=A
62,81.144.138.34,2012-06-21 02:55:43+02:00,GET /logs/ HTTP/1.1,200,686,-,Wotbox/2.0 (bot@wotbox.com; http://www.wotbox.com),2012-06-21,/logs/
63,81.144.138.34,2012-06-21 02:55:52+02:00,GET /?C=N;O=A HTTP/1.1,200,625,-,Wotbox/2.0 (bot@wotbox.com; http://www.wotbox.com),2012-06-21,/?C=N;O=A
64,81.144.138.34,2012-06-21 02:55:58+02:00,GET /?C=M;O=D HTTP/1.1,200,623,-,Wotbox/2.0 (bot@wotbox.com; http://www.wotbox.com),2012-06-21,/?C=M;O=D
65,81.144.138.34,2012-06-21 02:56:11+02:00,GET /?C=S;O=D HTTP/1.1,200,623,-,Wotbox/2.0 (bot@wotbox.com; http://www.wotbox.com),2012-06-21,/?C=S;O=D
66,81.144.138.34,2012-06-21 02:56:18+02:00,GET /?C=D;O=D HTTP/1.1,200,623,-,Wotbox/2.0 (bot@wotbox.com; http://www.wotbox.com),2012-06-21,/?C=D;O=D
67,81.144.138.34,2012-06-21 02:56:30+02:00,GET /logs/?C=N;O=D HTTP/1.1,200,684,-,Wotbox/2.0 (bot@wotbox.com; http://www.wotbox.com),2012-06-21,/logs/?C=N;O=D
68,81.144.138.34,2012-06-21 02:56:43+02:00,GET /logs/?C=M;O=A HTTP/1.1,200,686,-,Wotbox/2.0 (bot@wotbox.com; http://www.wotbox.com),2012-06-21,/logs/?C=M;O=A
69,81.144.138.34,2012-06-21 02:56:55+02:00,GET /logs/?C=S;O=A HTTP/1.1,200,686,-,Wotbox/2.0 (bot@wotbox.com; http://www.wotbox.com),2012-06-21,/logs/?C=S;O=A
70,81.144.138.34,2012-06-21 02:57:02+02:00,GET /logs/?C=D;O=A HTTP/1.1,200,686,-,Wotbox/2.0 (bot@wotbox.com; http://www.wotbox.com),2012-06-21,/logs/?C=D;O=A
71,81.144.138.34,2012-06-21 02:57:15+02:00,GET /logs/access.log HTTP/1.1,200,11606,-,Wotbox/2.0 (bot@wotbox.com; http://www.wotbox.com),2012-06-21,/logs/access.log
72,81.144.138.34,2012-06-21 02:57:22+02:00,GET /logs/error.log HTTP/1.1,200,1733,-,Wotbox/2.0 (bot@wotbox.com; http://www.wotbox.com),2012-06-21,/logs/error.log
73,81.144.138.34,2012-06-21 02:57:34+02:00,GET /logs/?C=N;O=A HTTP/1.1,200,686,-,Wotbox/2.0 (bot@wotbox.com; http://www.wotbox.com),2012-06-21,/logs/?C=N;O=A
74,81.144.138.34,2012-06-21 02:57:40+02:00,GET /logs/?C=M;O=D HTTP/1.1,200,684,-,Wotbox/2.0 (bot@wotbox.com; http://www.wotbox.com),2012-06-21,/logs/?C=M;O=D
75,81.144.138.34,2012-06-21 02:57:47+02:00,GET /logs/?C=S;O=D HTTP/1.1,200,684,-,Wotbox/2.0 (bot@wotbox.com; http://www.wotbox.com),2012-06-21,/logs/?C=S;O=D
76,81.144.138.34,2012-06-21 02:57:59+02:00,GET /logs/?C=D;O=D HTTP/1.1,200,684,-,Wotbox/2.0 (bot@wotbox.com; http://www.wotbox.com),2012-06-21,/logs/?C=D;O=D
77,83.149.126.98,2012-06-21 03:31:39+02:00,GET /robots.txt HTTP/1.0,404,488,-,Mozilla/5.0 (compatible; MJ12bot/v1.4.3; http://www.majestic12.co.uk/bot.php?+),2012-06-21,/robots.txt
78,83.149.126.98,2012-06-21 03:31:40+02:00,GET / HTTP/1.0,200,621,-,Mozilla/5.0 (compatible; MJ12bot/v1.4.3; http://www.majestic12.co.uk/bot.php?+),2012-06-21,/
79,123.125.71.60,2012-06-21 03:40:24+02:00,GET / HTTP/1.1,200,913,-,Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html),2012-06-21,/
80,220.181.108.111,2012-06-21 03:41:04+02:00,GET / HTTP/1.1,200,913,-,Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html),2012-06-21,/
81,180.76.5.190,2012-06-21 05:07:13+02:00,GET / HTTP/1.1,200,908,-,Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html),2012-06-21,/
82,119.63.196.58,2012-06-21 05:15:31+02:00,GET / HTTP/1.1,200,621,-,Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html),2012-06-21,/
83,1.202.218.8,2012-06-21 05:57:35+02:00,GET /robots.txt HTTP/1.0,404,492,-,\,2012-06-21,/robots.txt
84,66.249.72.65,2012-06-21 05:59:24+02:00,GET /robots.txt HTTP/1.1,404,503,-,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),2012-06-21,/robots.txt
85,66.249.72.65,2012-06-21 05:59:24+02:00,GET / HTTP/1.1,200,658,-,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),2012-06-21,/
86,123.125.71.41,2012-06-21 06:24:13+02:00,GET / HTTP/1.1,200,908,-,Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html),2012-06-21,/
87,220.181.108.92,2012-06-21 06:24:32+02:00,GET / HTTP/1.1,200,908,-,Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html),2012-06-21,/
88,89.17.37.142,2012-06-21 07:32:00+02:00,GET /logs/access.log HTTP/1.1,200,14186,http://www.google.ru/url?sa=t&rct=j&q=&esrc=s&source=web&cd=7&ved=0CGEQFjAG&url=http%3A%2F%2Fisrolab.com%2Flogs%2Faccess.log&ei=q7HiT6SIKYrNmAWn45TaAw&usg=AFQjCNENV8twLEAi3TQfvJhNYQwHD7A51g&sig2=Hdl10VJlRZuVoVy9vB93pg,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.56 Safari/536.5",2012-06-21,/logs/access.log
89,89.17.37.142,2012-06-21 07:32:01+02:00,GET /favicon.ico HTTP/1.1,404,526,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.56 Safari/536.5",2012-06-21,/favicon.ico
90,89.17.37.142,2012-06-21 07:32:04+02:00,GET /crossdomain.xml HTTP/1.1,404,530,http://s.nsdsvc.com/App/DddWrapper.swf?c=4,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.56 Safari/536.5",2012-06-21,/crossdomain.xml
91,123.125.71.22,2012-06-21 07:32:38+02:00,GET / HTTP/1.1,200,916,-,Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html),2012-06-21,/
92,220.181.108.87,2012-06-21 07:33:14+02:00,GET / HTTP/1.1,200,916,-,Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html),2012-06-21,/
93,196.202.155.22,2012-06-21 07:34:07+02:00,GET /logs/access.log HTTP/1.1,200,15363,http://www.google.com/url?sa=t&rct=j&q=http%20%20%20access%20log%20200%2078&source=web&cd=4&ved=0CGIQFjAD&url=http%3A%2F%2Fisrolab.com%2Flogs%2Faccess.log&ei=NLLiT9jiNsLbsgaQy5TCBg&usg=AFQjCNENV8twLEAi3TQfvJhNYQwHD7A51g,"Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/534.12 (KHTML, like Gecko) Chrome/9.0.587.0 Safari/534.12",2012-06-21,/logs/access.log
94,196.202.155.22,2012-06-21 07:34:08+02:00,GET /favicon.ico HTTP/1.1,404,526,-,"Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/534.12 (KHTML, like Gecko) Chrome/9.0.587.0 Safari/534.12",2012-06-21,/favicon.ico
95,66.249.72.250,2012-06-21 07:48:40+02:00,GET /robots.txt HTTP/1.1,404,506,-,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),2012-06-21,/robots.txt
96,72.14.199.244,2012-06-21 07:48:40+02:00,GET / HTTP/1.1,200,663,-,"AdsBot-Google-Mobile (+http://www.google.com/mobile/adsbot.html) Mozilla (iPhone; U; CPU iPhone OS 3 0 like Mac OS X) AppleWebKit (KHTML, like Gecko) Mobile Safari",2012-06-21,/
97,1.202.218.8,2012-06-21 08:14:02+02:00,GET /robots.txt HTTP/1.0,404,488,-,\,2012-06-21,/robots.txt
98,119.63.196.84,2012-06-21 08:38:18+02:00,GET /robots.txt HTTP/1.1,404,465,-,Baiduspider+(+http://www.baidu.com/search/spider.htm),2012-06-21,/robots.txt
99,95.91.59.50,2012-06-21 08:48:13+02:00,GET /robots.txt HTTP/1.1,404,492,-,findlinks/2.1.5 (+http://wortschatz.uni-leipzig.de/findlinks/),2012-06-21,/robots.txt
100,66.219.58.38,2012-06-21 09:21:09+02:00,GET /robots.txt HTTP/1.1,404,465,-,MLBot (www.metadatalabs.com/mlbot),2012-06-21,/robots.txt
101,66.219.58.38,2012-06-21 09:21:09+02:00,GET / HTTP/1.1,200,621,-,MLBot (www.metadatalabs.com/mlbot),2012-06-21,/
102,66.219.58.38,2012-06-21 09:34:03+02:00,GET /logs/ HTTP/1.1,200,680,-,MLBot (www.metadatalabs.com/mlbot),2012-06-21,/logs/
103,66.219.58.38,2012-06-21 09:43:52+02:00,GET /logs/error.log HTTP/1.1,200,3115,-,MLBot (www.metadatalabs.com/mlbot),2012-06-21,/logs/error.log
104,173.236.21.106,2012-06-21 09:46:08+02:00,GET /robots.txt HTTP/1.0,404,488,-,Mozilla/5.0 (compatible; MJ12bot/v1.4.3; http://www.majestic12.co.uk/bot.php?+),2012-06-21,/robots.txt
105,173.236.21.106,2012-06-21 09:46:10+02:00,GET / HTTP/1.0,200,621,-,Mozilla/5.0 (compatible; MJ12bot/v1.4.3; http://www.majestic12.co.uk/bot.php?+),2012-06-21,/
106,1.202.218.8,2012-06-21 09:46:10+02:00,GET /robots.txt HTTP/1.0,404,492,-,\,2012-06-21,/robots.txt
107,66.219.58.38,2012-06-21 09:51:16+02:00,GET /logs/access.log HTTP/1.1,200,13140,-,MLBot (www.metadatalabs.com/mlbot),2012-06-21,/logs/access.log
108,178.154.210.252,2012-06-21 09:55:43+02:00,GET /robots.txt HTTP/1.1,404,530,-,Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots),2012-06-21,/robots.txt
109,109.67.210.45,2012-06-21 09:58:28+02:00,GET / HTTP/1.1,200,659,http://www.google.co.il/url?sa=t&rct=j&q=isrolab&source=web&cd=1&ved=0CFYQFjAA&url=http%3A%2F%2Fisrolab.com%2F&ei=H9TiT661AcfbsgbpsNXBBg&usg=AFQjCNGF9Nq5BuB3-djnJtnChSVes9Xu5g,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.56 Safari/536.5",2012-06-21,/
110,109.67.210.45,2012-06-21 09:58:29+02:00,GET /icons/blank.gif HTTP/1.1,200,439,http://isrolab.com/,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.56 Safari/536.5",2012-06-21,/icons/blank.gif
111,109.67.210.45,2012-06-21 09:58:29+02:00,GET /icons/folder.gif HTTP/1.1,200,517,http://isrolab.com/,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.56 Safari/536.5",2012-06-21,/icons/folder.gif
112,109.67.210.45,2012-06-21 09:58:29+02:00,GET /favicon.ico HTTP/1.1,404,502,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.56 Safari/536.5",2012-06-21,/favicon.ico
113,109.67.210.45,2012-06-21 09:58:30+02:00,GET /logs/ HTTP/1.1,200,716,http://isrolab.com/,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.56 Safari/536.5",2012-06-21,/logs/
114,109.67.210.45,2012-06-21 09:58:30+02:00,GET /icons/back.gif HTTP/1.1,200,507,http://isrolab.com/logs/,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.56 Safari/536.5",2012-06-21,/icons/back.gif
115,109.67.210.45,2012-06-21 09:58:30+02:00,GET /icons/unknown.gif HTTP/1.1,200,536,http://isrolab.com/logs/,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.56 Safari/536.5",2012-06-21,/icons/unknown.gif
116,109.67.210.45,2012-06-21 09:58:30+02:00,GET /favicon.ico HTTP/1.1,404,502,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.56 Safari/536.5",2012-06-21,/favicon.ico
117,123.125.71.91,2012-06-21 10:29:56+02:00,GET /?C=S;O=A HTTP/1.1,200,621,-,Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html),2012-06-21,/?C=S;O=A
118,123.125.71.59,2012-06-21 10:33:36+02:00,GET / HTTP/1.1,200,913,-,Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html),2012-06-21,/
119,220.181.108.89,2012-06-21 10:34:16+02:00,GET / HTTP/1.1,200,913,-,Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html),2012-06-21,/
120,66.249.72.65,2012-06-21 10:59:14+02:00,GET /robots.txt HTTP/1.1,404,503,-,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),2012-06-21,/robots.txt
121,66.249.72.65,2012-06-21 10:59:14+02:00,GET /logs/error.log HTTP/1.1,200,3856,-,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),2012-06-21,/logs/error.log
122,180.76.5.175,2012-06-21 11:07:44+02:00,GET / HTTP/1.1,200,908,-,Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html),2012-06-21,/
